country,year,co2_emissions_mt
United States,2010,5486.192375724204
United States,2011,5337.456653996836
United States,2012,5089.500154094771
United States,2013,5246.902431981638
United States,2014,5252.4745828723535
United States,2015,5137.813085644506
United States,2016,5039.275807779282
Brazil,2010,410.576663447544
Brazil,2011,427.98222648724914
Brazil,2012,457.80501081980765
Brazil,2013,487.0274775456637
Brazil,2014,511.66774604748935
Brazil,2015,494.77003813907504
Brazil,2016,455.90472692996264
Denmark,2010,52.20245113223791
Denmark,2011,46.57724769273773
Denmark,2012,41.33587444666773
Denmark,2013,43.032833522651345
Denmark,2014,39.245103504741564
Denmark,2015,36.72745652124286
Denmark,2016,38.033258794341236
Germany,2010,783.1632710639387
Germany,2011,763.6899108849466
Germany,2012,773.0012605916709
Germany,2013,797.5715588508174
Germany,2014,751.0808149809018
Germany,2015,755.6309769740328
Germany,2016,767.4105891361833
Norway,2010,38.10259479936212
Norway,2011,37.55401508230716
Norway,2012,37.358776467852294
Norway,2013,37.501119159627706
Norway,2014,37.383390869013965
Norway,2015,37.95963854063302
Norway,2016,37.01531020086259
Saudi Arabia,2010,461.3426875472069
Saudi Arabia,2011,485.97634014487267
Saudi Arabia,2012,516.6073110848665
Saudi Arabia,2013,526.0064523518085
Saudi Arabia,2014,565.0695445537567
Saudi Arabia,2015,601.7979385256767
Saudi Arabia,2016,634.5415044128895
South Africa,2010,475.1112340800464
South Africa,2011,466.53741577640176
South Africa,2012,462.2859778627753
South Africa,2013,463.02084617316723
South Africa,2014,467.43910657987
South Africa,2015,455.2917374894023
South Africa,2016,474.3620617389679
Australia,2010,401.9611766152084
Australia,2011,407.3563135750592
Australia,2012,398.7401840239763
Australia,2013,395.64233012124896
Australia,2014,399.19706811383367
Australia,2015,407.4407610767521
Australia,2016,405.9763878074009
China,2010,8121.687930941582
China,2011,8793.49112534523
China,2012,8977.559669315815
China,2013,9214.086148023605
China,2014,9235.529755830765
China,2015,9172.850866824389
China,2016,9027.137805879116
India,2010,1643.9262391924858
India,2011,1710.2373648285866
India,2012,1829.264125406742
India,2013,1896.2117128372192
India,2014,2046.4880927205086
India,2015,2114.349152445793
India,2016,2211.2860560417175
